cons.conf.idx,cons.price.idx,contact,day_of_week,default,emp.var.rate,euribor3m,housing,loan,marital,month,nr.employed,poutcome,profession,responded,schooling,campaign1,custAge1,pastEmail1,pcontacted_pdays,pContacted_previous
-36.1,93.444,cellular,thu,unknown,1.4,4.963,yes,no,married,aug,5228.1,nonexistent,blue-collar,no,high.school,2,49.0,no,True,no
-42.0,93.2,cellular,tue,unknown,-0.1,4.1530000000000005,no,no,married,nov,5195.8,nonexistent,housemaid,no,university.degree,1,42.0,no,True,no
-42.0,93.2,cellular,tue,unknown,-0.1,4.1530000000000005,no,no,married,nov,5195.8,nonexistent,services,no,other,2,40.0,no,True,no
-42.7,93.91799999999999,cellular,thu,no,1.4,4.963,no,no,single,jul,5228.1,nonexistent,unknown,yes,professional.course,1,32.0,no,True,no
-47.1,93.075,cellular,mon,unknown,-1.8,1.405,yes,no,married,apr,5099.1,nonexistent,blue-collar,no,basic.9y,2,46.0,no,True,no
-36.1,93.444,cellular,fri,no,1.4,4.9639999999999995,yes,yes,single,aug,5228.1,nonexistent,technician,no,professional.course,1,33.0,no,True,no
-42.7,93.91799999999999,cellular,thu,no,1.4,4.963,no,no,single,jul,5228.1,nonexistent,services,no,other,1,34.0,no,True,no
-46.2,92.89299999999999,cellular,wed,no,-1.8,1.281,yes,no,married,may,5099.1,failure,admin.,no,university.degree,1,38.0,yes,True,yes
-46.2,92.89299999999999,cellular,thu,no,-1.8,1.327,no,no,married,may,5099.1,success,admin.,yes,other,1,32.0,yes,False,yes
-36.4,93.994,telephone,tue,no,1.1,4.857,yes,no,married,may,5191.0,nonexistent,admin.,no,university.degree,1,31.0,no,True,no
-41.8,94.465,telephone,wed,no,1.4,4.864,no,no,married,jun,5228.1,nonexistent,admin.,no,other,2,26.0,no,True,no
-46.2,92.89299999999999,cellular,unknown,no,-1.8,1.266,yes,no,single,may,5099.1,nonexistent,blue-collar,no,basic.4y,1,28.0,no,True,no
-42.7,93.91799999999999,cellular,thu,no,1.4,4.963,no,no,married,jul,5228.1,nonexistent,self-employed,no,other,6,30.0,no,True,no
-34.8,93.369,cellular,fri,no,-1.8,0.649,no,no,married,mar,5008.7,failure,admin.,no,university.degree,2,42.0,yes,True,yes
-47.1,93.075,telephone,wed,no,-1.8,1.415,no,no,married,apr,5099.1,nonexistent,management,no,university.degree,4,42.0,no,True,no
-42.7,93.91799999999999,cellular,mon,no,1.4,4.962,yes,no,married,jul,5228.1,nonexistent,technician,no,other,2,47.0,no,True,no
-41.8,94.465,telephone,unknown,no,1.4,4.864,no,no,single,jun,5228.1,nonexistent,blue-collar,no,other,7+,37.0,no,True,no
-42.0,93.2,cellular,unknown,no,-0.1,4.12,no,no,married,nov,5195.8,failure,admin.,no,university.degree,1,33.0,yes,True,yes
-41.8,94.465,telephone,mon,unknown,1.4,4.961,no,no,single,jun,5228.1,nonexistent,blue-collar,no,high.school,2,26.0,no,True,no
-36.1,93.444,cellular,mon,no,1.4,4.963,yes,no,single,aug,5228.1,nonexistent,admin.,no,university.degree,2,32.0,no,True,no
-42.7,93.91799999999999,cellular,thu,no,1.4,4.962,yes,no,divorced,jul,5228.1,nonexistent,technician,no,other,2,45.0,no,True,no
-46.2,92.89299999999999,cellular,fri,no,-1.8,1.25,yes,no,divorced,may,5099.1,failure,retired,no,other,5,54.0,yes,True,yes
-42.7,93.91799999999999,cellular,unknown,unknown,1.4,4.961,no,no,married,jul,5228.1,nonexistent,blue-collar,no,basic.9y,2,42.0,no,True,no
-36.1,93.444,cellular,fri,no,1.4,4.9639999999999995,no,no,married,aug,5228.1,nonexistent,management,no,university.degree,3,42.0,no,True,no
-46.2,92.89299999999999,cellular,mon,no,-1.8,1.354,yes,yes,single,may,5099.1,nonexistent,student,yes,high.school,3,22.0,no,True,no
-36.4,93.994,telephone,wed,no,1.1,4.856,yes,no,married,may,5191.0,nonexistent,technician,no,basic.6y,3,43.0,no,True,no
-36.1,93.444,cellular,unknown,no,1.4,4.967,yes,no,married,aug,5228.1,nonexistent,admin.,no,university.degree,6,35.0,no,True,no
-42.7,93.91799999999999,telephone,wed,no,1.4,4.957,yes,no,married,jul,5228.1,nonexistent,admin.,no,other,6,27.0,no,True,no
-41.8,94.465,telephone,fri,no,1.4,4.967,yes,no,married,jun,5228.1,nonexistent,blue-collar,no,basic.9y,1,30.0,no,True,no
-42.0,93.2,cellular,wed,no,-0.1,4.12,yes,no,married,nov,5195.8,nonexistent,services,no,university.degree,3,42.0,no,True,no
-42.7,93.91799999999999,cellular,mon,unknown,1.4,4.96,yes,no,married,jul,5228.1,nonexistent,blue-collar,no,other,1,35.0,no,True,no
-42.7,93.91799999999999,cellular,mon,no,1.4,4.96,unknown,unknown,single,jul,5228.1,nonexistent,self-employed,no,other,2,37.0,no,True,no
-42.7,93.91799999999999,cellular,thu,no,1.4,4.963,yes,no,married,jul,5228.1,nonexistent,blue-collar,no,high.school,1,27.0,no,True,no
-36.4,93.994,telephone,thu,no,1.1,4.86,yes,no,single,may,5191.0,nonexistent,management,no,other,3,43.0,no,True,no
-42.7,93.91799999999999,cellular,wed,no,1.4,4.962,yes,no,married,jul,5228.1,nonexistent,blue-collar,yes,other,1,31.0,no,True,no
-42.0,93.2,cellular,mon,no,-0.1,4.191,no,no,married,nov,5195.8,nonexistent,management,no,other,1,42.0,no,True,no
-46.2,92.89299999999999,cellular,fri,unknown,-1.8,1.25,no,no,married,may,5099.1,nonexistent,entrepreneur,no,other,1,28.0,no,True,no
-36.4,93.994,telephone,fri,unknown,1.1,4.864,no,no,married,may,5191.0,nonexistent,retired,no,high.school,2,57.0,no,True,no
-41.8,94.465,telephone,wed,unknown,1.4,4.962,no,no,married,jun,5228.1,nonexistent,management,yes,other,7+,38.0,no,True,no
-41.8,94.465,telephone,thu,no,1.4,4.8660000000000005,no,no,married,jun,5228.1,nonexistent,technician,no,professional.course,1,42.0,no,True,no
-47.1,93.075,cellular,wed,no,-1.8,1.445,yes,no,married,apr,5099.1,nonexistent,services,no,high.school,1,34.0,no,True,no
-41.8,94.465,telephone,unknown,no,1.4,4.864,no,no,married,jun,5228.1,nonexistent,admin.,no,other,7+,42.0,no,True,no
-41.8,94.465,telephone,thu,no,1.4,4.8660000000000005,no,no,married,jun,5228.1,nonexistent,admin.,no,university.degree,2,42.0,no,True,no
-36.1,93.444,cellular,unknown,no,1.4,4.968,no,no,married,aug,5228.1,nonexistent,admin.,no,basic.4y,3,56.0,no,True,no
-36.1,93.444,cellular,thu,no,1.4,4.968,yes,no,married,aug,5228.1,nonexistent,blue-collar,no,basic.9y,1,52.0,no,True,no
-39.8,94.055,telephone,wed,no,-1.7,0.727,yes,no,single,jun,4991.6,nonexistent,entrepreneur,no,university.degree,1,39.0,no,True,no
-36.1,93.444,cellular,fri,no,1.4,4.963,no,yes,married,aug,5228.1,nonexistent,technician,no,professional.course,2,29.0,no,True,no
-47.1,93.075,telephone,thu,no,-1.8,1.435,yes,no,married,apr,5099.1,nonexistent,retired,no,other,4,64.0,no,True,no
-36.1,93.444,cellular,thu,no,1.4,4.962,yes,yes,single,aug,5228.1,nonexistent,admin.,no,university.degree,1,33.0,no,True,no
-42.7,93.91799999999999,cellular,mon,no,1.4,4.96,no,no,married,jul,5228.1,nonexistent,blue-collar,no,other,1,41.0,no,True,no
-46.2,92.89299999999999,cellular,thu,no,-1.8,1.27,yes,no,divorced,may,5099.1,failure,entrepreneur,no,university.degree,2,45.0,yes,True,yes
-42.0,93.2,cellular,wed,no,-0.1,4.12,no,no,married,nov,5195.8,nonexistent,management,no,university.degree,1,37.0,no,True,no
-36.1,93.444,cellular,fri,no,1.4,4.966,no,no,single,aug,5228.1,nonexistent,admin.,yes,university.degree,1,30.0,no,True,no
-40.4,93.79799999999999,telephone,thu,no,-0.1,4.794,no,no,divorced,oct,5195.8,nonexistent,admin.,no,high.school,1,58.0,no,True,no
-42.7,93.91799999999999,cellular,wed,no,1.4,4.962,yes,no,single,jul,5228.1,nonexistent,blue-collar,no,other,5,27.0,no,True,no
-36.4,93.994,telephone,mon,no,1.1,4.8580000000000005,no,no,single,may,5191.0,nonexistent,blue-collar,no,other,3,34.0,no,True,no
-30.1,92.649,cellular,fri,no,-3.4,0.7140000000000001,no,no,single,nov,5017.5,success,student,yes,other,1,26.0,yes,False,yes
-36.4,93.994,telephone,fri,no,1.1,4.864,yes,no,married,may,5191.0,nonexistent,services,no,other,3,29.0,no,True,no
-36.1,93.444,cellular,mon,no,1.4,4.963,no,no,married,aug,5228.1,nonexistent,technician,no,professional.course,2,41.0,no,True,no
-40.8,92.963,telephone,thu,no,-2.9,1.26,no,yes,married,jun,5076.2,nonexistent,admin.,no,other,5,35.0,no,True,no
-31.4,92.20100000000001,cellular,unknown,no,-2.9,0.8340000000000001,yes,no,divorced,aug,5076.2,failure,retired,no,university.degree,5,45.0,yes,True,yes
-31.4,92.20100000000001,cellular,mon,no,-2.9,0.861,no,no,single,aug,5076.2,failure,technician,no,professional.course,1,33.0,yes,True,yes
-46.2,92.89299999999999,cellular,fri,no,-1.8,1.3130000000000002,yes,yes,married,may,5099.1,nonexistent,housemaid,no,basic.4y,1,32.0,no,True,no
-42.7,93.91799999999999,cellular,fri,no,1.4,4.957,yes,yes,single,jul,5228.1,nonexistent,admin.,no,university.degree,1,33.0,no,True,no
-46.2,92.89299999999999,telephone,wed,no,-1.8,1.281,no,no,divorced,may,5099.1,nonexistent,unemployed,no,other,3,44.0,no,True,no
-36.4,93.994,telephone,mon,no,1.1,4.8580000000000005,yes,no,married,may,5191.0,nonexistent,blue-collar,no,other,2,26.0,no,True,no
-42.7,93.91799999999999,cellular,fri,no,1.4,4.963,no,no,married,jul,5228.1,nonexistent,blue-collar,no,basic.9y,2,42.0,no,True,no
-36.1,93.444,cellular,mon,unknown,1.4,4.965,no,no,married,aug,5228.1,nonexistent,management,no,other,2,50.0,no,True,no
-36.1,93.444,cellular,unknown,unknown,1.4,4.966,no,no,married,aug,5228.1,nonexistent,blue-collar,no,basic.4y,2,51.0,no,True,no
-42.0,93.2,cellular,mon,no,-0.1,4.191,yes,no,married,nov,5195.8,nonexistent,admin.,no,university.degree,2,42.0,no,True,no
-41.8,94.465,telephone,wed,unknown,1.4,4.959,yes,no,married,jun,5228.1,nonexistent,self-employed,no,university.degree,6,29.0,no,True,no
-36.4,93.994,telephone,fri,no,1.1,4.859,yes,no,single,may,5191.0,nonexistent,admin.,no,university.degree,4,29.0,no,True,no
-46.2,92.89299999999999,cellular,fri,no,-1.8,1.2590000000000001,yes,no,single,may,5099.1,nonexistent,unemployed,no,basic.4y,1,33.0,no,True,no
-36.4,93.994,telephone,mon,unknown,1.1,4.857,no,yes,married,may,5191.0,nonexistent,admin.,no,other,2,60.0,no,True,no
-42.0,93.2,cellular,thu,no,-0.1,4.0760000000000005,no,no,single,nov,5195.8,nonexistent,blue-collar,no,high.school,1,30.0,no,True,no
-42.7,93.91799999999999,cellular,tue,no,1.4,4.961,yes,no,married,jul,5228.1,nonexistent,technician,yes,high.school,7+,42.0,no,True,no
-47.1,93.075,cellular,mon,no,-1.8,1.405,yes,no,married,apr,5099.1,nonexistent,blue-collar,no,basic.6y,2,45.0,no,True,no
-36.1,93.444,cellular,mon,unknown,1.4,4.963,yes,yes,married,aug,5228.1,nonexistent,self-employed,no,university.degree,3,43.0,no,True,no
-46.2,92.89299999999999,telephone,wed,no,-1.8,1.281,yes,no,married,may,5099.1,nonexistent,services,no,high.school,7+,53.0,no,True,no
-36.1,93.444,cellular,mon,no,1.4,4.965,no,no,married,aug,5228.1,nonexistent,housemaid,no,basic.6y,7+,36.0,no,True,no
-36.1,93.444,cellular,thu,unknown,1.4,4.968,no,no,married,aug,5228.1,nonexistent,student,no,professional.course,1,42.0,no,True,no
-36.4,93.994,telephone,mon,unknown,1.1,4.8580000000000005,yes,no,married,may,5191.0,nonexistent,services,no,high.school,3,36.0,no,True,no
-42.7,93.91799999999999,cellular,wed,unknown,1.4,4.963,no,no,married,jul,5228.1,nonexistent,admin.,no,high.school,3,31.0,no,True,no
-46.2,92.89299999999999,cellular,fri,no,-1.8,1.25,yes,no,single,may,5099.1,nonexistent,technician,no,other,5,33.0,no,True,no
-41.8,94.465,telephone,wed,no,1.4,4.959,no,no,single,jun,5228.1,nonexistent,blue-collar,no,basic.4y,7+,25.0,no,True,no
-41.8,94.465,telephone,thu,no,1.4,4.8660000000000005,yes,yes,divorced,jun,5228.1,nonexistent,management,no,university.degree,1,52.0,no,True,no
-42.0,93.2,cellular,unknown,no,-0.1,4.12,yes,no,single,nov,5195.8,nonexistent,admin.,no,other,1,34.0,no,True,no
-40.8,92.963,cellular,tue,no,-2.9,1.099,no,no,married,jun,5076.2,nonexistent,housemaid,yes,university.degree,1,42.0,no,True,no
-42.0,93.2,cellular,tue,no,-0.1,4.7,no,no,married,nov,5195.8,nonexistent,admin.,no,other,1,30.0,no,True,no
-42.0,93.2,cellular,tue,no,-0.1,4.1530000000000005,no,no,married,nov,5195.8,nonexistent,entrepreneur,no,professional.course,1,43.0,no,True,no
-36.4,93.994,telephone,fri,no,1.1,4.855,yes,no,married,may,5191.0,nonexistent,admin.,no,other,2,29.0,no,True,no
-37.5,94.199,cellular,thu,no,-1.1,0.879,yes,no,married,sep,4963.6,nonexistent,technician,no,professional.course,1,58.0,no,True,no
-30.1,92.649,cellular,mon,no,-3.4,0.715,no,no,single,nov,5017.5,nonexistent,housemaid,no,university.degree,1,29.0,no,True,no
-42.0,93.2,telephone,wed,no,-0.1,3.9010000000000002,yes,yes,married,nov,5195.8,nonexistent,technician,no,professional.course,1,42.0,no,True,no
-36.4,93.994,telephone,wed,no,1.1,4.859,no,no,married,may,5191.0,nonexistent,blue-collar,no,basic.6y,2,42.0,no,True,no
-33.0,92.713,cellular,unknown,no,-3.0,0.715,yes,no,married,dec,5023.5,success,services,yes,basic.9y,1,55.0,yes,False,yes
-46.2,92.89299999999999,cellular,mon,no,-1.8,1.354,yes,no,married,may,5099.1,nonexistent,blue-collar,yes,basic.6y,3,46.0,no,True,no
-42.7,93.91799999999999,cellular,wed,no,1.4,4.957,yes,no,single,jul,5228.1,nonexistent,technician,no,university.degree,1,34.0,no,True,no
-46.2,92.89299999999999,cellular,mon,no,-1.8,1.244,no,no,single,may,5099.1,failure,student,no,high.school,2,33.0,yes,True,yes
-41.8,94.465,telephone,mon,no,1.4,4.961,yes,no,divorced,jun,5228.1,nonexistent,admin.,no,other,2,30.0,no,True,no
-39.8,94.055,cellular,unknown,no,-1.7,0.748,no,no,single,jun,4991.6,nonexistent,unemployed,no,other,2,33.0,no,True,no
-46.2,92.89299999999999,cellular,unknown,no,-1.8,1.327,yes,no,divorced,may,5099.1,failure,admin.,no,high.school,1,42.0,yes,True,yes
-42.7,93.91799999999999,cellular,fri,no,1.4,4.963,yes,no,married,jul,5228.1,nonexistent,services,no,basic.4y,3,52.0,no,True,no
-41.8,94.465,telephone,unknown,unknown,1.4,4.864,yes,no,single,jun,5228.1,nonexistent,blue-collar,no,other,3,33.0,no,True,no
-36.1,93.444,cellular,mon,no,1.4,4.965,yes,no,married,aug,5228.1,nonexistent,technician,no,professional.course,1,35.0,no,True,no
-36.4,93.994,telephone,wed,no,1.1,4.857,no,no,single,may,5191.0,nonexistent,admin.,no,high.school,3,44.0,no,True,no
-42.0,93.2,cellular,fri,unknown,-0.1,4.021,yes,no,single,nov,5195.8,nonexistent,services,no,high.school,1,45.0,no,True,no
-36.4,93.994,telephone,tue,no,1.1,4.856,no,no,married,may,5191.0,nonexistent,services,no,other,1,41.0,no,True,no
-40.3,94.215,telephone,thu,no,-1.7,0.899,no,no,single,jul,4991.6,nonexistent,admin.,no,high.school,1,33.0,no,True,no
-36.1,93.444,cellular,wed,no,1.4,4.9639999999999995,no,no,married,aug,5228.1,nonexistent,retired,no,professional.course,2,60.0,no,True,no
-36.4,93.994,telephone,tue,no,1.1,4.857,no,no,married,may,5191.0,nonexistent,technician,yes,professional.course,1,42.0,no,True,no
-42.0,93.2,cellular,mon,no,-0.1,4.191,no,no,married,nov,5195.8,nonexistent,blue-collar,no,basic.4y,1,53.0,no,True,no
-40.3,94.215,cellular,wed,no,-1.7,0.8959999999999999,yes,no,married,jul,4991.6,success,housemaid,yes,professional.course,2,48.0,no,False,yes
-40.8,92.963,cellular,thu,no,-2.9,1.26,yes,yes,married,jun,5076.2,nonexistent,management,no,other,2,42.0,no,True,no
-42.7,93.91799999999999,cellular,fri,no,1.4,4.959,yes,no,married,jul,5228.1,nonexistent,admin.,no,high.school,6,30.0,no,True,no
-47.1,93.075,cellular,thu,unknown,-1.8,1.41,yes,no,married,apr,5099.1,failure,blue-collar,no,other,1,45.0,yes,True,yes
-36.4,93.994,telephone,thu,unknown,1.1,4.86,no,no,married,may,5191.0,nonexistent,unknown,no,high.school,1,53.0,no,True,no
-42.7,93.91799999999999,cellular,mon,no,1.4,4.96,no,no,single,jul,5228.1,nonexistent,technician,no,professional.course,3,33.0,no,True,no
-46.2,92.89299999999999,cellular,tue,no,-1.8,1.291,yes,no,married,may,5099.1,failure,admin.,no,basic.9y,1,42.0,yes,True,yes
-40.8,92.963,telephone,mon,no,-2.9,1.26,yes,no,married,jun,5076.2,nonexistent,retired,no,basic.4y,4,59.0,no,True,no
-42.0,93.2,cellular,tue,no,-0.1,4.1530000000000005,no,no,married,nov,5195.8,failure,technician,no,high.school,2,36.0,yes,True,yes
-36.1,93.444,cellular,wed,no,1.4,4.9639999999999995,no,no,single,aug,5228.1,nonexistent,admin.,no,university.degree,4,33.0,no,True,no
-46.2,92.89299999999999,cellular,tue,no,-1.8,1.291,yes,no,single,may,5099.1,nonexistent,self-employed,no,university.degree,1,34.0,no,True,no
-42.0,93.2,cellular,thu,unknown,-0.1,4.0760000000000005,yes,no,married,nov,5195.8,failure,management,no,professional.course,2,57.0,no,True,yes
-36.1,93.444,cellular,unknown,no,1.4,4.963,yes,no,married,aug,5228.1,nonexistent,services,no,high.school,3,55.0,no,True,no
-41.8,94.465,telephone,fri,no,1.4,4.959,no,no,single,jun,5228.1,nonexistent,admin.,no,university.degree,2,27.0,no,True,no
-46.2,92.89299999999999,cellular,tue,no,-1.8,1.291,no,no,married,may,5099.1,nonexistent,blue-collar,no,basic.9y,1,38.0,no,True,no
-41.8,94.465,telephone,mon,no,1.4,4.961,yes,no,single,jun,5228.1,nonexistent,admin.,no,high.school,1,33.0,no,True,no
-42.7,93.91799999999999,cellular,thu,no,1.4,4.968,no,no,married,jul,5228.1,nonexistent,services,no,high.school,1,28.0,no,True,no
-36.1,93.444,cellular,thu,no,1.4,4.963,yes,no,single,aug,5228.1,nonexistent,admin.,no,university.degree,2,33.0,no,True,no
-31.4,92.20100000000001,cellular,tue,no,-2.9,0.883,no,no,married,aug,5076.2,nonexistent,technician,no,other,2,58.0,no,True,no
-42.7,93.91799999999999,cellular,fri,no,1.4,4.963,yes,no,married,jul,5228.1,nonexistent,blue-collar,no,basic.6y,2,31.0,no,True,no
-41.8,94.465,telephone,mon,unknown,1.4,4.96,no,no,single,jun,5228.1,nonexistent,blue-collar,no,high.school,3,29.0,no,True,no
-36.1,93.444,cellular,mon,no,1.4,4.965,yes,no,single,aug,5228.1,nonexistent,technician,no,professional.course,1,37.0,no,True,no
-31.4,92.20100000000001,cellular,thu,no,-2.9,0.883,yes,yes,single,aug,5076.2,nonexistent,admin.,no,other,1,35.0,no,True,no
-36.4,93.994,telephone,tue,no,1.1,4.857,yes,no,single,may,5191.0,nonexistent,unemployed,no,university.degree,2,33.0,no,True,no
-47.1,93.075,telephone,tue,no,-1.8,1.405,no,no,married,apr,5099.1,nonexistent,self-employed,no,professional.course,3,64.0,no,True,no
-42.7,93.91799999999999,cellular,mon,no,1.4,4.96,no,yes,single,jul,5228.1,nonexistent,technician,no,professional.course,4,39.0,no,True,no
-46.2,92.89299999999999,cellular,fri,no,-1.8,1.3130000000000002,yes,no,divorced,may,5099.1,nonexistent,services,no,other,1,29.0,no,True,no
-46.2,92.89299999999999,cellular,fri,no,-1.8,1.25,yes,no,married,may,5099.1,failure,admin.,no,basic.6y,6,29.0,yes,True,yes
-36.4,93.994,telephone,fri,no,1.1,4.857,no,no,divorced,may,5191.0,nonexistent,admin.,no,university.degree,1,42.0,no,True,no
-46.2,92.89299999999999,cellular,wed,no,-1.8,1.281,yes,yes,married,may,5099.1,nonexistent,admin.,yes,other,1,53.0,no,True,no
-47.1,93.075,cellular,wed,no,-1.8,1.445,yes,no,married,apr,5099.1,failure,blue-collar,no,basic.9y,1,39.0,yes,True,yes
-42.0,93.2,cellular,wed,no,-0.1,4.12,yes,no,married,nov,5195.8,failure,housemaid,no,basic.6y,4,48.0,yes,True,yes
-36.1,93.444,cellular,tue,no,1.4,4.968,yes,no,single,aug,5228.1,nonexistent,admin.,yes,university.degree,3,32.0,no,True,no
-46.2,92.89299999999999,cellular,tue,unknown,-1.8,1.344,no,no,married,may,5099.1,failure,blue-collar,no,basic.4y,1,42.0,yes,True,yes
-42.0,93.2,cellular,thu,no,-0.1,4.0760000000000005,yes,no,single,nov,5195.8,nonexistent,admin.,no,university.degree,2,38.0,no,True,no
-42.7,93.91799999999999,cellular,mon,no,1.4,4.96,yes,no,single,jul,5228.1,nonexistent,technician,no,high.school,7+,27.0,no,True,no
-36.1,93.444,cellular,thu,no,1.4,4.963,yes,no,single,aug,5228.1,nonexistent,admin.,no,university.degree,1,30.0,no,True,no
-42.0,93.2,cellular,thu,no,-0.1,4.0760000000000005,no,no,single,nov,5195.8,nonexistent,entrepreneur,no,university.degree,1,31.0,no,True,no
-42.7,93.91799999999999,cellular,wed,no,1.4,4.963,no,no,married,jul,5228.1,nonexistent,technician,no,high.school,3,39.0,no,True,no
-46.2,92.89299999999999,telephone,wed,no,-1.8,1.281,yes,yes,single,may,5099.1,failure,student,no,high.school,4,33.0,yes,True,yes
-46.2,92.89299999999999,cellular,fri,no,-1.8,1.3130000000000002,yes,yes,single,may,5099.1,failure,blue-collar,no,other,2,26.0,yes,True,yes
-41.8,94.465,telephone,mon,no,1.4,4.96,no,no,single,jun,5228.1,nonexistent,admin.,no,high.school,1,46.0,no,True,no
-40.3,94.215,cellular,mon,no,-1.7,0.7929999999999999,yes,no,single,jul,4991.6,nonexistent,admin.,no,other,1,33.0,no,True,no
-36.4,93.994,telephone,thu,unknown,1.1,4.86,no,no,single,may,5191.0,nonexistent,admin.,no,other,2,39.0,no,True,no
-46.2,92.89299999999999,cellular,wed,no,-1.8,1.334,yes,no,divorced,may,5099.1,failure,blue-collar,no,basic.6y,1,45.0,yes,True,yes
-36.4,93.994,telephone,wed,no,1.1,4.856,yes,no,married,may,5191.0,nonexistent,technician,no,university.degree,1,42.0,no,True,no
-42.0,93.2,cellular,wed,unknown,-0.1,4.12,yes,no,married,nov,5195.8,nonexistent,technician,no,professional.course,2,42.0,no,True,no
-42.7,93.91799999999999,cellular,mon,no,1.4,4.96,yes,yes,single,jul,5228.1,nonexistent,unemployed,no,basic.9y,4,26.0,no,True,no
-47.1,93.075,cellular,thu,no,-1.8,1.41,no,no,single,apr,5099.1,nonexistent,admin.,no,university.degree,1,32.0,no,True,no
-50.0,92.84299999999999,cellular,fri,no,-1.8,1.531,no,no,single,mar,5099.1,nonexistent,admin.,yes,high.school,2,33.0,no,True,no
-46.2,92.89299999999999,telephone,fri,no,-1.8,1.3130000000000002,yes,no,married,may,5099.1,failure,management,no,university.degree,3,34.0,yes,True,yes
-41.8,94.465,telephone,mon,no,1.4,4.865,no,no,divorced,jun,5228.1,nonexistent,retired,yes,university.degree,6,59.0,no,True,no
-42.7,93.91799999999999,cellular,mon,unknown,1.4,4.96,yes,no,married,jul,5228.1,nonexistent,admin.,no,high.school,3,42.0,no,True,no
-46.2,92.89299999999999,cellular,wed,no,-1.8,1.27,no,no,single,may,5099.1,nonexistent,technician,yes,professional.course,3,33.0,no,True,no
-36.1,93.444,cellular,thu,no,1.4,4.9639999999999995,yes,no,married,aug,5228.1,nonexistent,self-employed,no,other,1,40.0,no,True,no
-41.8,94.465,telephone,mon,no,1.4,4.961,yes,yes,single,jun,5228.1,nonexistent,technician,no,high.school,2,33.0,no,True,no
-36.1,93.444,cellular,wed,unknown,1.4,4.965,unknown,unknown,single,aug,5228.1,nonexistent,technician,no,university.degree,1,33.0,no,True,no
-36.4,93.994,telephone,mon,no,1.1,4.857,no,no,single,may,5191.0,nonexistent,services,no,high.school,1,33.0,no,True,no
-42.0,93.2,cellular,thu,unknown,-0.1,4.0760000000000005,yes,yes,single,nov,5195.8,nonexistent,technician,no,university.degree,2,33.0,no,True,no
-34.6,93.749,cellular,tue,no,-1.8,0.638,no,yes,married,apr,5008.7,success,technician,yes,other,1,42.0,yes,False,yes
-36.4,93.994,telephone,unknown,no,1.1,4.857,yes,no,married,may,5191.0,nonexistent,blue-collar,no,basic.9y,2,48.0,no,True,no
-42.7,93.91799999999999,cellular,wed,no,1.4,4.963,no,yes,single,jul,5228.1,nonexistent,admin.,no,professional.course,1,23.0,no,True,no
-46.2,92.89299999999999,cellular,fri,no,-1.8,1.3130000000000002,yes,no,single,may,5099.1,failure,blue-collar,no,basic.6y,1,32.0,yes,True,yes
-42.0,93.2,cellular,unknown,no,-0.1,4.1530000000000005,yes,no,divorced,nov,5195.8,nonexistent,admin.,no,high.school,2,45.0,no,True,no
-42.7,93.91799999999999,cellular,wed,no,1.4,4.963,yes,no,single,jul,5228.1,nonexistent,services,no,other,2,21.0,no,True,no
-50.8,94.76700000000001,cellular,tue,no,-1.1,1.046,yes,no,married,nov,4963.6,success,technician,no,other,1,42.0,yes,False,yes
